method,split,query_id,n_input,n_output,input_tokens,output_tokens,compression_ratio,reduction_pct,recall,precision,f1,ndcg,latency_ms
DenseTopK,synthetic_g1,syn-10,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.7227265726449519,0.17875600008210313
SelectiveContext,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.47913000003063644
LLMLingua,synthetic_g1,syn-10,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3642970000328205
FCNP,synthetic_g1,syn-10,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.7227265726449519,17.71971100004066
NoCompression,synthetic_g1,syn-11,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3088045870592176,0.0017060000345736626
Random,synthetic_g1,syn-11,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03153900001962029
TopKImportance,synthetic_g1,syn-11,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.018734000036602083
BM25,synthetic_g1,syn-11,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5071889999044288
DenseTopK,synthetic_g1,syn-11,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6992148198508501,0.18565499999567692
SelectiveContext,synthetic_g1,syn-11,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.465892999955031
LLMLingua,synthetic_g1,syn-11,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5012949999354532
FCNP,synthetic_g1,syn-11,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6992148198508501,19.429401000024882
NoCompression,synthetic_g1,syn-12,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3908994827441315,0.001366999981655681
Random,synthetic_g1,syn-12,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.10152000004381989
TopKImportance,synthetic_g1,syn-12,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.04230000001825829
BM25,synthetic_g1,syn-12,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6531369999720482
DenseTopK,synthetic_g1,syn-12,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,0.3914810000651414
SelectiveContext,synthetic_g1,syn-12,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.49884199995631207
LLMLingua,synthetic_g1,syn-12,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3636669999877995
FCNP,synthetic_g1,syn-12,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,21.366835000094397
NoCompression,synthetic_g1,syn-13,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.44883872205470926,0.0014800000371906208
Random,synthetic_g1,syn-13,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03143599997201818
TopKImportance,synthetic_g1,syn-13,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.01665399997818895
BM25,synthetic_g1,syn-13,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4911519999950542
DenseTopK,synthetic_g1,syn-13,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6843515475204855,0.16770299998825067
SelectiveContext,synthetic_g1,syn-13,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4550630000039746
LLMLingua,synthetic_g1,syn-13,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3602259999979651
FCNP,synthetic_g1,syn-13,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,20.28254200001811
NoCompression,synthetic_g1,syn-14,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.4520055691081626,0.0016139999843289843
Random,synthetic_g1,syn-14,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.028386000053615135
TopKImportance,synthetic_g1,syn-14,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.019314000041958934
BM25,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5297939999309165
DenseTopK,synthetic_g1,syn-14,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,0.1761190000024726
SelectiveContext,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.463853000042036
LLMLingua,synthetic_g1,syn-14,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3668840000727869
FCNP,synthetic_g1,syn-14,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.48522855511632257,19.91511599999285
NoCompression,synthetic_g1,syn-15,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.34440361603600284,0.0015210000583465444
Random,synthetic_g1,syn-15,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.037528999996538914
TopKImportance,synthetic_g1,syn-15,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.019025000028705108
BM25,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5102349999788203
DenseTopK,synthetic_g1,syn-15,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6992148198508501,0.1735259999122718
SelectiveContext,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4656800000475414
LLMLingua,synthetic_g1,syn-15,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3597999999556123
FCNP,synthetic_g1,syn-15,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.6843515475204855,19.19286200006809
NoCompression,synthetic_g1,syn-16,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3743294369895751,0.0019039999870074098
Random,synthetic_g1,syn-16,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.029219999987617484
TopKImportance,synthetic_g1,syn-16,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01744899998357141
BM25,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.499934000004032
DenseTopK,synthetic_g1,syn-16,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,0.17335400002593815
SelectiveContext,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4498960000773877
LLMLingua,synthetic_g1,syn-16,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.355887000068833
FCNP,synthetic_g1,syn-16,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5087403079104241,21.692782999934934
NoCompression,synthetic_g1,syn-17,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.2868643692516167,0.0015150000081121107
Random,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02949999998236308
TopKImportance,synthetic_g1,syn-17,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01928300002873584
BM25,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.491910000050666
DenseTopK,synthetic_g1,syn-17,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.639945385422766,0.18260599995301163
SelectiveContext,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4836250000153086
LLMLingua,synthetic_g1,syn-17,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3765950000342855
FCNP,synthetic_g1,syn-17,80,5,985,118,8.347457627118644,88.02030456852792,0.6,0.6,0.6,0.639945385422766,20.112189999963448
NoCompression,synthetic_g1,syn-18,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.3395308578306013,0.0016000000186977559
Random,synthetic_g1,syn-18,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.028463000035117147
TopKImportance,synthetic_g1,syn-18,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.024827000061122817
BM25,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.509639000028983
DenseTopK,synthetic_g1,syn-18,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.8539316501572937,0.17646300000251358
SelectiveContext,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.47691700001450954
LLMLingua,synthetic_g1,syn-18,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3737490000048638
FCNP,synthetic_g1,syn-18,80,5,985,139,7.086330935251799,85.88832487309645,0.8,0.8,0.8000000000000002,0.8539316501572937,18.923827000094207
NoCompression,synthetic_g1,syn-19,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.5134957910384061,0.0017869999737740727
Random,synthetic_g1,syn-19,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.028475000021899177
TopKImportance,synthetic_g1,syn-19,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.27727342735504823,0.01641100004690088
BM25,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5004549999512165
DenseTopK,synthetic_g1,syn-19,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.1775939999788534
SelectiveContext,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4622449999942546
LLMLingua,synthetic_g1,syn-19,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.3565689999049937
FCNP,synthetic_g1,syn-19,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,19.83217400004378
NoCompression,synthetic_g1,syn-20,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.49795964847829033,0.0016970000160654308
Random,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.02782100000331411
TopKImportance,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.04149700009747903
BM25,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5512430000180757
DenseTopK,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.17318099992280622
SelectiveContext,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4771430000118926
LLMLingua,synthetic_g1,syn-20,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.37213099994914955
FCNP,synthetic_g1,syn-20,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,19.10867200001576
NoCompression,synthetic_g1,syn-21,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.35686912141959365,0.0018550000504546915
Random,synthetic_g1,syn-21,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.029975999950693222
TopKImportance,synthetic_g1,syn-21,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.01742799997828115
BM25,synthetic_g1,syn-21,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5119610000292596
DenseTopK,synthetic_g1,syn-21,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,0.17605699997602642
SelectiveContext,synthetic_g1,syn-21,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4618390000814543
LLMLingua,synthetic_g1,syn-21,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.36571900000126334
FCNP,synthetic_g1,syn-21,80,5,985,97,10.154639175257731,90.15228426395939,0.4,0.4,0.4000000000000001,0.5531464700081437,19.00837200003025
NoCompression,synthetic_g1,syn-22,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.48450848031137667,0.0015830000847927295
Random,synthetic_g1,syn-22,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.16958010263680806,0.030018999950698344
TopKImportance,synthetic_g1,syn-22,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.13120507751234178,0.01940800007105281
BM25,synthetic_g1,syn-22,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5345690000240211
DenseTopK,synthetic_g1,syn-22,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.226134999934402
SelectiveContext,synthetic_g1,syn-22,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.6400069999017433
LLMLingua,synthetic_g1,syn-22,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.47059300004548277
FCNP,synthetic_g1,syn-22,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,21.738196000001153
NoCompression,synthetic_g1,syn-23,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.29544362819803,0.0015860000530665275
Random,synthetic_g1,syn-23,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.21398626473452756,0.07781200008594169
TopKImportance,synthetic_g1,syn-23,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.03627900002811657
BM25,synthetic_g1,syn-23,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.5586380000295321
DenseTopK,synthetic_g1,syn-23,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.16586200001711404
SelectiveContext,synthetic_g1,syn-23,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.49126600004001375
LLMLingua,synthetic_g1,syn-23,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.37250400009725126
FCNP,synthetic_g1,syn-23,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,19.397965000052864
NoCompression,synthetic_g1,syn-24,80,80,985,985,1.0,0.0,1.0,0.0625,0.11764705882352941,0.36682970229969397,0.001687999997557199
Random,synthetic_g1,syn-24,80,5,985,55,17.90909090909091,94.41624365482232,0.0,0.0,0.0,0.0,0.02832300003774435
TopKImportance,synthetic_g1,syn-24,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.13120507751234178,0.027441000042927044
BM25,synthetic_g1,syn-24,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4911400000082722
DenseTopK,synthetic_g1,syn-24,80,5,985,76,12.960526315789474,92.28426395939087,0.2,0.2,0.20000000000000004,0.3391602052736161,0.15746099995794793
SelectiveContext,synthetic_g1,syn-24,80,5,985,160,6.15625,83.75634517766497,1.0,1.0,1.0,1.0,0.4820789999939734
